rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4428;Hietzing;U4;HÜTTELDORF       ;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:50.249702
4426;Schönbrunn;U4;HÜTTELDORF;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:50.249709
4424;Meidling Hauptstraße;U4;HÜTTELDORF       ;2026-02-12T17:45:45.000+0100;2026-02-12T17:45:45.000+0100;6;2026-02-12T17:39:50.249716
4422;Margaretengürtel;U4;HÜTTELDORF       ;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:50.249722
4420;Pilgramgasse;U4;HÜTTELDORF       ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249730
4418;Kettenbrückengasse;U4;HÜTTELDORF       ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249736
4416;Karlsplatz;U4;HÜTTELDORF;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249743
4414;Stadtpark;U4;HÜTTELDORF;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249750
4412;Landstraße;U4;HÜTTELDORF;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:50.249757
4410;Schwedenplatz;U4;HÜTTELDORF;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249764
4408;Schottenring;U4;HÜTTELDORF;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249771
4406;Roßauer Lände;U4;HÜTTELDORF;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249777
4404;Friedensbrücke;U4;HÜTTELDORF       ;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:50.249784
4402;Heiligenstadt;U4;HÜTTELDORF       ;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:50.249792
4615;Bahnhof Meidling;U6;FLORIDSDORF;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:51.752716
4635;Siebenhirten;U6;FLORIDSDORF;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:51.752730
4624;Michelbeuern - AKH;U6;FLORIDSDORF;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:51.752745
4622;Josefstädter Straße;U6;FLORIDSDORF;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:51.752760
4644;Neue Donau;U6;FLORIDSDORF;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:51.753000
4620;Burggasse - Stadthalle;U6;FLORIDSDORF;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753017
4642;Dresdner Straße;U6;FLORIDSDORF;2026-02-12T17:45:45.000+0100;2026-02-12T17:45:45.000+0100;6;2026-02-12T17:39:51.753029
4618;Gumpendorfer Straße;U6;FLORIDSDORF;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:51.753042
4638;Alterlaa;U6;FLORIDSDORF;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753057
4627;Spittelau;U6;FLORIDSDORF;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:51.753068
4640;Tscherttegasse;U6;FLORIDSDORF;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:51.753093
4616;Niederhofstraße;U6;FLORIDSDORF;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753104
4636;Perfektastraße;U6;FLORIDSDORF;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753114
4625;Währinger Straße - Volksoper;U6;FLORIDSDORF;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:51.753125
4623;Alser Straße;U6;FLORIDSDORF;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753135
4621;Thaliastraße;U6;FLORIDSDORF;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:51.753166
4643;Handelskai;U6;FLORIDSDORF;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:51.753176
4619;Westbahnhof;U6;FLORIDSDORF;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:51.753186
4641;Jägerstraße;U6;FLORIDSDORF;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:51.753196
4617;Längenfeldgasse;U6;FLORIDSDORF;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:51.753206
4637;Erlaaer Straße;U6;FLORIDSDORF;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:51.753215
4626;Nußdorfer Straße;U6;FLORIDSDORF;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:51.753225
4639;Am Schöpfwerk;U6;FLORIDSDORF;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:51.753235
4604;Währinger Straße - Volksoper;U6;SIEBENHIRTEN;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:51.753244
4613;Niederhofstraße;U6;SIEBENHIRTEN;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753254
4633;Perfektastraße;U6;SIEBENHIRTEN;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753264
4651;Spittelau;U6;SIEBENHIRTEN;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:51.753273
4611;Gumpendorfer Straße;U6;SIEBENHIRTEN;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:51.753283
4631;Alterlaa;U6;SIEBENHIRTEN;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:51.753293
4649;Dresdner Straße;U6;SIEBENHIRTEN;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:51.753302
4609;Burggasse - Stadthalle;U6;SIEBENHIRTEN;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753313
4647;Neue Donau;U6;SIEBENHIRTEN;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:51.753335
4607;Josefstädter Straße;U6;SIEBENHIRTEN;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:51.753343
4605;Michelbeuern - AKH;U6;SIEBENHIRTEN;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:51.753355
4614;Bahnhof Meidling;U6;SIEBENHIRTEN;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:51.753364
4603;Nußdorfer Straße;U6;SIEBENHIRTEN;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753376
4630;Am Schöpfwerk;U6;SIEBENHIRTEN;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753386
4612;Längenfeldgasse;U6;SIEBENHIRTEN;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:51.753396
4632;Erlaaer Straße;U6;SIEBENHIRTEN;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:51.753406
4650;Jägerstraße;U6;SIEBENHIRTEN;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:51.753417
4610;Westbahnhof;U6;SIEBENHIRTEN;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:51.753427
4648;Handelskai;U6;SIEBENHIRTEN;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:51.753438
4608;Thaliastraße;U6;SIEBENHIRTEN;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:51.753448
4646;Floridsdorf;U6;SIEBENHIRTEN;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753458
4606;Alser Straße;U6;SIEBENHIRTEN;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753468
4437;Längenfeldgasse;U4;HEILIGENSTADT ;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:51.753479
4431;Roßauer Lände;U4;HEILIGENSTADT;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753487
4433;Friedensbrücke;U4;HEILIGENSTADT;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:51.753497
4439;Spittelau;U4;HEILIGENSTADT;2026-02-12T17:44:45.000+0100;2026-02-12T17:44:45.000+0100;5;2026-02-12T17:39:51.753505
4434;Ober St. Veit;U4;HÜTTELDORF       ;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:51.753515
4432;Unter St. Veit;U4;HÜTTELDORF       ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753524
4430;Braunschweiggasse;U4;HÜTTELDORF       ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:51.753533
4438;Längenfeldgasse;U4;HÜTTELDORF    ;2026-02-12T17:44:45.000+0100;2026-02-12T17:44:45.000+0100;5;2026-02-12T17:39:51.753542
4440;Spittelau;U4;HÜTTELDORF    ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:51.753551
4629;Tscherttegasse;U6;SIEBENHIRTEN;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:51.753577
4913;Landstraße;U3;SIMMERING;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:52.563639
4931;Ottakring;U3;SIMMERING        ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:52.563649
4927;Schweglerstraße;U3;SIMMERING;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:52.563659
4915;Kardinal-Nagl-Platz;U3;SIMMERING;2026-02-12T17:45:45.000+0100;2026-02-12T17:45:45.000+0100;6;2026-02-12T17:39:52.563668
