rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4431;Roßauer Lände;U4;HEILIGENSTADT    ;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.440909
4419;Kettenbrückengasse;U4;HEILIGENSTADT    ;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.440921
4425;Landstraße;U4;HEILIGENSTADT ;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.440934
4437;Längenfeldgasse;U4;HEILIGENSTADT;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.440946
4409;Hietzing;U4;HEILIGENSTADT    ;2026-02-07T15:45:15.000+0100;2026-02-07T15:45:15.000+0100;5;2026-02-07T15:40:32.440958
4433;Friedensbrücke;U4;HEILIGENSTADT    ;2026-02-07T15:46:15.000+0100;2026-02-07T15:46:15.000+0100;6;2026-02-07T15:40:32.440970
4414;Stadtpark;U4;HÜTTELDORF;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.440983
4408;Schottenring;U4;HÜTTELDORF    ;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:32.440997
4432;Unter St. Veit;U4;HÜTTELDORF       ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.441009
4426;Schönbrunn;U4;HÜTTELDORF       ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.441022
4440;Spittelau;U4;HÜTTELDORF    ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.441033
4416;Karlsplatz;U4;HÜTTELDORF;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.441049
4422;Margaretengürtel;U4;HÜTTELDORF;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.441060
4410;Schwedenplatz;U4;HÜTTELDORF    ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.441071
